,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,0,high_bound,id_patch,inter,low_bound,proba_patch,proba_patch_norm
1104,3657.000000,,,,,,,,,,,,75.000000,237.000000,,,,,12415.000000,0.968720,20166.000000,"[0.9684502947826772, 0.968720392236708)",0.968450,7.654087,0.000270
1192,62.000000,,,,,269.000000,,345.000000,,,,,,,,,,,15708.000000,0.200721,20589.000000,"[0.19934527990406986, 0.20072065858983826)",0.199345,38.975813,0.001375
432,3559.000000,2575.000000,3121.000000,856.000000,555.000000,255.000000,,,,,,64.000000,120.000000,,,,,,5279.000000,0.880309,40182.000000,"[0.879906024668919, 0.8803085066654558)",0.879906,11.405632,0.000402
275,2166.000000,1470.000000,3178.000000,479.000000,698.000000,,,,,,,,460.000000,848.000000,,,,,7085.000000,0.662270,30103.000000,"[0.6616222165862307, 0.6622701841773917)",0.661622,18.362262,0.000648
1171,102.000000,,,1342.000000,,,,,,,3479.000000,,,,,,,,11461.000000,0.216963,20489.000000,"[0.2156207000550619, 0.21696311553536415)",0.215621,38.041694,0.001342
205,322.000000,,,,,,833.000000,,,,3229.000000,3061.000000,,,,,,,8939.000000,0.120715,20392.000000,"[0.11911602515452384, 0.12071542641006296)",0.119116,45.324218,0.001599
665,1951.000000,240.000000,404.000000,,,,1609.000000,568.000000,,,830.000000,636.000000,130.000000,301.000000,,,,,9715.000000,0.362752,20325.000000,"[0.3616958513322451, 0.36275212650367356)",0.361696,29.932980,0.001056
195,1440.000000,,,442.000000,,,,203.000000,,,308.000000,421.000000,1341.000000,,,,,,12229.000000,0.017773,20342.000000,"[0.015399620913572696, 0.017773283494075292)",0.015400,67.265423,0.002374
904,4078.000000,3325.000000,1372.000000,284.000000,,407.000000,,,,369.000000,,,,681.000000,,,,,5868.000000,0.850338,40133.000000,"[0.8498979889423475, 0.8503375180945333)",0.849898,12.455483,0.000440
1340,4264.000000,1337.000000,4537.000000,544.000000,,,171.000000,,,,,152.000000,,343.000000,,61.000000,,,4975.000000,0.962084,30699.000000,"[0.9617993099877217, 0.9620843717834159)",0.961799,8.078150,0.000285
643,3074.000000,,,,,,,,,,2847.000000,5945.000000,,,,,,,4518.000000,0.248401,20214.000000,"[0.24712447669714213, 0.24840065428346136)",0.247124,36.164628,0.001276
1134,1100.000000,,,,,1408.000000,,1827.000000,,,1278.000000,,,3385.000000,,,,,7386.000000,0.295000,20297.000000,"[0.29381455642075444, 0.2949995776896776)",0.293815,33.581418,0.001185
230,151.000000,,,,501.000000,105.000000,33.000000,,,,,,,,,,,473.000000,15121.000000,0.026767,20516.000000,"[0.024605187485656203, 0.026766962055019803)",0.024605,61.260889,0.002162
612,834.000000,380.000000,,,,,777.000000,,93.000000,,2462.000000,281.000000,402.000000,,151.000000,,,251.000000,10753.000000,0.090735,20081.000000,"[0.089003440943314, 0.0907351914178461)",0.089003,49.074763,0.001732
