,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,0,high_bound,id_patch,inter,low_bound,proba_patch,proba_patch_norm
154,,,,,,,1250.000000,,,,,,,,,,,5248.000000,9886.000000,0.007584,20117.000000,"[0.004013212263884869, 0.007583907072253452)",0.004013,101.187210,0.003571
185,36.000000,,,,,,1045.000000,130.000000,,,3813.000000,2352.000000,,144.000000,,1840.000000,,,7024.000000,0.106077,20295.000000,"[0.10441428266862961, 0.10607741483308988)",0.104414,47.130240,0.001663
1115,407.000000,,246.000000,291.000000,,551.000000,,221.000000,,,485.000000,,,604.000000,,,,,13579.000000,0.286652,20222.000000,"[0.2854484989819611, 0.2866520767781907)",0.285448,34.107278,0.001204
163,428.000000,,,,,,1027.000000,,,,1256.000000,369.000000,,1280.000000,,,,1786.000000,10238.000000,0.028885,20194.000000,"[0.026766962055019803, 0.02888525154973908)",0.026767,60.028598,0.002118
248,1774.000000,426.000000,,,,908.000000,,,,,,,,,,,,,13276.000000,0.471745,20584.000000,"[0.47086555713646927, 0.47174539375254865)",0.470866,24.933022,0.000880
502,,3634.000000,,73.000000,594.000000,,,,1035.000000,,,,1606.000000,,,3394.000000,,,6048.000000,0.060316,10054.000000,"[0.058416029690482416, 0.060315758503899856)",0.058416,53.834973,0.001900
806,2813.000000,93.000000,,1494.000000,,,,,,,,,,449.000000,,,,164.000000,11371.000000,0.772138,30344.000000,"[0.7715904791581791, 0.7721384807161599)",0.771590,15.529400,0.000548
805,5523.000000,2422.000000,98.000000,428.000000,,,,,,,,,,314.000000,919.000000,,733.000000,,5947.000000,0.744198,30331.000000,"[0.7436261838696645, 0.7441979186085813)",0.743626,16.201957,0.000572
77,,6958.000000,117.000000,750.000000,3711.000000,667.000000,,,737.000000,,,,,,,,,,3444.000000,0.594633,10314.000000,"[0.5939050299693049, 0.5946328859551477)",0.593905,20.626158,0.000728
561,3483.000000,3859.000000,3219.000000,717.000000,,,,,,,,,,1195.000000,,,307.000000,,3604.000000,0.887863,10333.000000,"[0.8874710238690656, 0.8878633125371479)",0.887471,11.116771,0.000392
252,5468.000000,,,,,,,,,,,300.000000,,818.000000,,,,1297.000000,8501.000000,0.451207,20601.000000,"[0.4503002359313811, 0.4512073652152845)",0.450300,25.706448,0.000907
944,5554.000000,,,,,,,,,,,,,,,,,657.000000,10173.000000,0.799712,40354.000000,"[0.799200418635365, 0.7997124599721975)",0.799200,14.510351,0.000512
194,554.000000,,,,,,,,,,,1105.000000,,,,1658.000000,,,13067.000000,0.150325,20336.000000,"[0.1488010209728532, 0.1503246861822351)",0.148801,43.177992,0.001524
693,1667.000000,,,,,,,6112.000000,,,,,,,,4614.000000,,,3991.000000,0.402425,20466.000000,"[0.4014387443040274, 0.4024251026242059)",0.401439,27.951660,0.000986
123,,397.000000,,,,,,,,,,137.000000,,64.000000,347.000000,8154.000000,,620.000000,6665.000000,0.054605,20000.000000,"[0.05269538179247526, 0.05460453189575889)",0.052695,54.101956,0.001909
939,2556.000000,2387.000000,973.000000,,,815.000000,,,,,,,,324.000000,,2814.000000,,,6515.000000,0.460203,40335.000000,"[0.45930716300029684, 0.4602026609333759)",0.459307,25.376836,0.000895
1178,760.000000,,,,,,627.000000,458.000000,,,725.000000,1960.000000,,,,1279.000000,,,10575.000000,0.176865,20527.000000,"[0.17542253074118724, 0.17686495446984452)",0.175423,40.875751,0.001442
