,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10002,7041,1662,535,2347,231,,241,,,,,,3884,443,,,,,
10004,13383,,,64,,,,,,,,,2317,242,56,,,322,
10008,14195,,,131,,,240,,,,,,1164,,,,,654,
10011,6505,4293,1307,925,535,,590,,,,,,,,1941,,,288,
10014,8326,3672,1491,489,37,310,1252,,,,216,,,490,,,101,,
10019,8733,1840,2817,,,,,,,1166,,,,1617,158,,53,,
10020,5247,6128,1366,2361,59,,,,,,,,,,,,,1223,
10026,8940,1120,2891,,479,291,188,,,1873,,,,602,,,,,
10027,4048,730,2362,821,3235,1646,,,,,,,,337,259,,,2946,
10034,12494,2430,,258,,,,,,,,,737,440,25,,,,
10035,6775,7182,229,110,738,,,,,,,,,,958,,,263,129
10036,6687,4697,612,1295,2097,,,,,,189,,,,199,,,608,
10038,5812,580,7051,284,539,530,188,,,227,,,,1173,,,,,
10039,6284,4325,502,3850,188,,,,,,,,,50,,,,1185,
10045,5171,,7875,258,,1098,,,,1330,,,,652,,,,,
10049,5314,7385,171,2443,483,,,,,,,,,,97,,,491,
10051,5863,,5823,,769,2882,,,,454,,,,593,,,,,
10055,5889,265,4995,,389,2632,1253,,,,,,,961,,,,,
10062,5537,6786,195,2120,643,,378,,,,,,,,,,48,677,
10066,5350,544,1820,2394,2282,666,1233,,,1926,,,,,169,,,,
10069,5100,4261,241,2442,1616,,,,,41,654,,560,,1469,,,,
10072,6485,33,4639,76,,1999,1453,,,695,,,471,,,533,,,
10081,4902,1023,6831,300,,1144,,,,374,,,,1810,,,,,
10088,10023,2641,973,805,570,64,243,,,,,,,74,,,991,,
10090,8817,2108,3397,408,59,867,,,,,,,,101,,,,,627
10099,5539,112,4308,,3218,1175,510,,,1027,,,,,495,,,,
10100,4299,3416,5129,1798,377,360,201,,,514,,,63,,227,,,,
10113,3740,935,5718,594,,3682,,,,1715,,,,,,,,,
10122,5388,5020,3589,,1882,,,,,,505,,,,,,,,
10123,6742,8589,232,183,,,,,,,,,638,,,,,,
10124,5399,4174,2265,2379,565,733,,,,,455,,,108,80,,,226,
10126,5433,501,4842,2605,,1747,,,,249,,,,218,789,,,,
10135,4907,5536,2415,1707,900,,,,,,,,216,,,,,703,
10140,6170,8811,,,,,,,,,,,,,,,,1403,
10143,5355,3200,2218,2512,1239,258,370,,,,241,,,,431,,,560,
10149,5389,3689,3680,1024,1166,,1074,,,,,,,362,,,,,
10159,5563,687,6212,648,584,377,,,,1488,,,,825,,,,,
10161,8130,6590,,272,303,,,,,,,,282,,,,44,763,
10165,5379,1887,2678,4488,,1654,,,,,,,,,,,,298,
10166,4242,1541,3995,4151,153,209,,,,,,,,,1218,,,875,
10170,4739,7477,811,1053,215,547,,,,,,,,,449,,561,532,
10173,5883,5591,3444,1466,,,,,,,,,,,,,,,
10175,9114,4311,503,335,1312,,,,,,,,,,212,,,597,
10185,6417,6166,298,1610,,,,,,,591,,,,1302,,,,
10189,6793,3368,3442,,162,426,929,,,952,,,,,,,312,,
