,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,0,high_bound,id_patch,inter,low_bound,proba_patch,proba_patch_norm
1127,482.000000,,,557.000000,,,,3002.000000,,,495.000000,,,1898.000000,,,,,9950.000000,0.535175,20265.000000,"[0.5343802242936238, 0.5351749718487887)",0.534380,22.521748,0.000795
126,1044.000000,415.000000,97.000000,697.000000,,,2593.000000,,152.000000,,628.000000,,,2537.000000,,,,651.000000,7570.000000,0.199345,20011.000000,"[0.19796857033741713, 0.19934527990406986)",0.197969,39.013528,0.001377
290,2887.000000,276.000000,,,,308.000000,,1192.000000,,,,,,,,,416.000000,,11305.000000,0.659672,30169.000000,"[0.6590207927243558, 0.6596723291436181)",0.659021,18.463396,0.000652
1373,1085.000000,2937.000000,4927.000000,,289.000000,,,,,352.000000,,57.000000,413.000000,,894.000000,,,,5430.000000,0.657062,40107.000000,"[0.6564088160509307, 0.6570623783824864)",0.656409,18.520807,0.000654
148,599.000000,,349.000000,388.000000,,,,2011.000000,,,,363.000000,245.000000,1045.000000,,3188.000000,,,8196.000000,0.232928,20089.000000,"[0.23161317102756834, 0.23292823244549135)",0.231613,37.266528,0.001315
759,3368.000000,,2256.000000,,1785.000000,,,,,,,,,,1037.000000,,1463.000000,,6475.000000,0.425409,30140.000000,"[0.4244712112796895, 0.42540864045373394)",0.424471,26.565094,0.000937
662,937.000000,,,,,,,,,,,,,,,2389.000000,,,13058.000000,0.207529,20313.000000,"[0.20617202428977288, 0.20752917632780002)",0.206172,38.459302,0.001357
761,2044.000000,1647.000000,1524.000000,325.000000,,,,,,,,,,,502.000000,,92.000000,540.000000,9710.000000,0.629781,30148.000000,"[0.6290999963563011, 0.6297805322430652)",0.629100,19.285190,0.000681
280,257.000000,233.000000,1165.000000,1127.000000,1544.000000,,,,,,,,44.000000,,2489.000000,,,,9525.000000,0.365904,30125.000000,"[0.3648562765467339, 0.3659044621068045)",0.364856,29.703735,0.001048
862,1045.000000,2443.000000,3647.000000,476.000000,533.000000,,686.000000,,,,,,,326.000000,,,,,7228.000000,0.851654,30622.000000,"[0.8512161200843635, 0.8516536931677526)",0.851216,12.400052,0.000438
1363,718.000000,4434.000000,6477.000000,,,,,,1284.000000,,,35.000000,39.000000,,,17.000000,,,3380.000000,0.855130,40070.000000,"[0.8546972762965381, 0.8551297304010497)",0.854697,12.254989,0.000432
192,1991.000000,,45.000000,,,,,,,,,871.000000,,346.000000,,392.000000,,,12739.000000,0.551681,20321.000000,"[0.5509035805570962, 0.551681229462431)",0.550904,22.037202,0.000778
201,841.000000,157.000000,308.000000,,665.000000,84.000000,1581.000000,2271.000000,,,1803.000000,,,933.000000,,173.000000,,456.000000,7112.000000,0.287856,20367.000000,"[0.2866520767781907, 0.28785558487517704)",0.286652,34.105303,0.001204
662,937.000000,,,,,,,,,,,,,,,2389.000000,,,13058.000000,0.207529,20313.000000,"[0.20617202428977288, 0.20752917632780002)",0.206172,38.459302,0.001357
215,2443.000000,,,903.000000,,281.000000,562.000000,569.000000,,,870.000000,,,3600.000000,,,,,7156.000000,0.445749,20454.000000,"[0.44483724189477547, 0.44574920703121756)",0.444837,25.843488,0.000912
305,297.000000,675.000000,1336.000000,310.000000,,,2036.000000,,,,,494.000000,,,428.000000,,,,10808.000000,0.359573,30270.000000,"[0.35850660349089986, 0.35957341019380135)",0.358507,30.231426,0.001067
245,284.000000,,,662.000000,,,,10641.000000,,,,,,241.000000,,,,,4556.000000,0.720460,20579.000000,"[0.7198685178699425, 0.7204599048144511)",0.719869,16.758866,0.000591
619,272.000000,,,,,,,96.000000,,,,,,,,7750.000000,,118.000000,8148.000000,0.073179,20115.000000,"[0.07137076847295125, 0.07317919374755094)",0.071371,51.247591,0.001808
390,7961.000000,748.000000,469.000000,242.000000,,,,,,201.000000,,,,67.000000,,,213.000000,,6483.000000,0.970058,30664.000000,"[0.9697923207669902, 0.9700583605763915)",0.969792,7.539100,0.000266
1144,95.000000,,,,,,,,,,1308.000000,1831.000000,,587.000000,,2182.000000,,,10381.000000,0.109392,20343.000000,"[0.10773716114731115, 0.10939189940876183)",0.107737,46.892372,0.001655
1245,3806.000000,131.000000,2985.000000,,,,,,,,,,,323.000000,,,346.000000,126.000000,8667.000000,0.883115,30186.000000,"[0.8827152605607572, 0.8831153674351445)",0.882715,11.338325,0.000400
684,1527.000000,,,,,138.000000,,,,,,748.000000,,99.000000,,514.000000,,,13358.000000,0.414038,20424.000000,"[0.4130830743633035, 0.41403839448617147)",0.413083,27.072092,0.000955
38,3225.000000,1036.000000,1589.000000,948.000000,,939.000000,,,,,,,,80.000000,,,,,8567.000000,0.757738,10156.000000,"[0.7571796098268042, 0.7577377687864513)",0.757180,15.817243,0.000558
1303,2211.000000,,,,,,,,,,,,,,,,246.000000,130.000000,13797.000000,0.695058,30496.000000,"[0.6944446975566573, 0.6950583550294522)",0.694445,17.389973,0.000614
909,674.000000,1604.000000,5419.000000,,,,,,3414.000000,,,183.000000,,,,,,,5090.000000,0.521522,40163.000000,"[0.5207110258149106, 0.5215224932968134)",0.520711,22.995561,0.000811
961,1129.000000,5124.000000,1652.000000,,242.000000,1315.000000,1258.000000,,,,,,,,,,,,5664.000000,0.593905,40420.000000,"[0.5931768860679572, 0.5939050299693049)",0.593177,20.634317,0.000728
956,74.000000,958.000000,4230.000000,401.000000,712.000000,,,,,,,187.000000,,,113.000000,,,,9709.000000,0.879906,40404.000000,"[0.8795030916967439, 0.879906024668919)",0.879503,11.418412,0.000403
288,3838.000000,1592.000000,212.000000,869.000000,,,,,,300.000000,,,,1181.000000,,,299.000000,282.000000,7811.000000,0.629100,30161.000000,"[0.6284190370765008, 0.6290999963563011)",0.628419,19.297188,0.000681
771,1858.000000,1763.000000,4733.000000,2468.000000,,,558.000000,,,,,,,,1396.000000,,,,3608.000000,0.765522,30179.000000,"[0.7649672073200927, 0.7655216186089439)",0.764967,15.711041,0.000554
127,1519.000000,,121.000000,554.000000,,,1033.000000,23.000000,490.000000,,4431.000000,338.000000,171.000000,130.000000,,,,876.000000,6698.000000,0.114286,20012.000000,"[0.112663090839999, 0.1142863644135188)",0.112663,46.000718,0.001623
