,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10003,5375,,6161,,216,191,234,,,1838,,,811,1558,,,,,
10010,4062,7059,1273,3300,,,,,,,,,272,170,21,,28,199,
10012,2948,340,6018,,1005,2648,,,,2349,,,,1076,,,,,
10017,8144,201,3341,,1063,148,,,,2945,,,,542,,,,,
10018,3805,6689,393,1646,381,,543,,,,,,1582,,1345,,,,
10022,3705,7767,175,649,370,,,,,,,,,,,,1292,2426,
10025,5898,4797,587,3017,,,277,,,,894,,,,,,,914,
10029,6465,226,4351,386,3731,58,325,,,114,,,,728,,,,,
10031,5589,775,7615,427,,443,,,,1235,,,,300,,,,,
10032,6523,4875,592,2204,1440,,,,,,,,,,,,,750,
10037,4042,2665,2952,4419,390,,,,,,,,536,552,,,828,,
10042,4609,4434,3250,276,,2397,,,,,192,,,,,,,1226,
10047,7219,,4209,361,,2763,1122,,,246,,,,464,,,,,
10052,3962,3960,1593,4404,1105,,79,,,,,,,,820,,,461,
10061,4981,3366,,5957,680,,1400,,,,,,,,,,,,
10067,12349,990,,276,,,88,,,,,,2160,,521,,,,
10073,6887,4736,1674,1714,,,,,,,,,73,73,859,,,368,
10080,12588,3796,,,,,,,,,,,,,,,,,
10082,5304,632,2349,1424,2619,1099,,,,2509,,,,368,80,,,,
10083,5364,3671,2297,1123,443,2031,533,,,462,460,,,,,,,,
10084,2788,,3911,143,189,924,1070,,,1348,3098,,,,2913,,,,
10091,5084,5119,1942,2062,,,,,,,211,,,,,,,1966,
10093,5771,4974,2867,369,162,1124,263,,,,,,,,264,,,590,
10096,4643,,7990,,547,1011,,,,1182,,,1011,,,,,,
10098,4263,4458,2571,3340,599,982,34,,,,,,92,45,,,,,
10101,6244,610,4294,,,1535,352,,,3349,,,,,,,,,
10102,5201,6950,1371,2264,198,,,,,,,,148,252,,,,,
10104,7790,3131,2913,403,,622,,,,,,,,,,,,1525,
10108,6948,6667,298,1482,,,,,,,,,,,122,,363,504,
10109,5567,196,5038,1573,655,479,,,,2256,620,,,,,,,,
10111,7585,223,1828,860,1475,1812,1327,,,1078,,,,,196,,,,
10112,6020,654,5044,337,705,2421,111,,,,380,,,572,140,,,,
10114,4260,42,4168,,3933,3198,197,,,586,,,,,,,,,
10115,3469,6447,1520,3323,764,,,,,,,,,,,,524,337,
10117,5302,2905,4174,507,1608,,,,,1108,,,,,,,606,174,
10121,4082,132,6131,2766,749,1327,149,,,1048,,,,,,,,,
10141,10892,3642,218,207,392,,,,,,1002,,,31,,,,,
10142,7795,290,3712,2095,187,692,395,,,1218,,,,,,,,,
10156,8567,3225,1036,1589,948,,939,,,,,,,,80,,,,
10162,4973,5488,230,4199,295,,291,,,,,,,,908,,,,
10168,3354,6594,2577,1852,866,373,,,,,,,,,,,,768,
10169,6983,3357,962,3622,,,,,,,,,,,794,,73,593,
10176,9345,466,1961,518,1294,755,,,,907,,,724,414,,,,,
10181,6716,4591,2276,2393,100,,,,,,,,,,,,,308,
10182,5827,5241,839,2653,503,,,,,,,,1206,,,,115,,
10190,3956,6394,2409,2374,501,,,,,,,,,,,,22,728,
10191,11469,3985,372,558,,,,,,,,,,,,,,,
10193,7041,3004,1588,1091,,1726,86,,,1383,465,,,,,,,,
10195,4785,,3571,2372,1007,1607,1079,,,1963,,,,,,,,,
10197,5710,3593,319,4232,1317,,,,,,,,,,1003,,,210,
10201,5837,3439,1485,923,418,3019,,79,,,,339,845,,,,,,
10206,10568,713,2397,,,747,,,,1959,,,,,,,,,
10211,6887,3017,3876,303,,983,690,,,,,,,,628,,,,
10212,5677,1059,4249,2842,,1086,330,,,1141,,,,,,,,,
10213,5278,5722,2492,1001,,543,840,,,305,,,,,203,,,,
10215,5136,,6587,,766,2271,364,,,1260,,,,,,,,,
10221,4304,5597,1976,3126,896,,,,,,362,,,,,,,123,
10227,7978,6595,510,726,,,184,,,,,,81,,85,,225,,
10229,8309,7012,66,692,,,,,,,,,,,,,,305,
10238,9077,1881,1340,1207,1103,1602,,,,,,,57,117,,,,,
10240,4737,5446,3405,2029,,,,,,,205,,,,208,,,354,
10242,5665,7383,314,1544,464,,144,,,,712,,,,158,,,,
10243,4616,7696,104,2776,757,,,,,,,,396,39,,,,,
10250,5103,4498,1090,3858,,,,,,,,,,478,,,,1357,
10251,10885,992,709,,2202,670,279,,,340,,,,,307,,,,
10252,5012,2224,6894,1555,,,144,,,,,,,,555,,,,
10259,6068,597,5542,463,760,1391,,,,1563,,,,,,,,,
10266,4410,2770,3058,6074,,,,,,,,,,,72,,,,
10269,6360,1938,3548,505,1298,602,,,,,359,,,,,,,1774,
10270,6044,58,5948,466,227,2682,492,,,467,,,,,,,,,
10275,3714,6771,3403,976,874,233,,,,,243,,,,,,,170,
10285,5257,6359,585,2524,77,,783,,,,,,658,,141,,,,
10291,4196,,6093,1084,980,3293,,,,738,,,,,,,,,
10297,8092,3488,432,2270,,,553,,,,,,736,,813,,,,
10308,6378,5481,457,2769,737,,,,,,,,,,,,,562,
10310,4612,2472,5464,2010,254,827,,,,745,,,,,,,,,
10311,11021,4370,,294,,,,,,,,,,,306,,148,245,
10314,3444,,6958,117,750,3711,667,,,737,,,,,,,,,
10319,6787,8318,,772,,,,,,,54,,,,,,,453,
10322,6995,2531,567,5908,,,,,,,,,,65,318,,,,
10324,6752,6423,531,2052,,,159,,,,,,,,379,,88,,
10325,6800,4522,1740,1999,,1022,67,,,,,,,,,,146,88,
10337,4236,8404,1755,1527,,,,,,,,,,,,,,462,
10340,5702,4757,1361,3384,336,241,119,,,,,,,,484,,,,
10341,5583,528,6953,,1212,784,,,,1044,,,,,280,,,,
10345,3342,8965,,444,358,,,,,,,,,,3275,,,,
10346,5682,6930,,2763,,,,,,,,,,,,,244,765,
10355,6105,6370,1447,1261,104,,,,,,346,,,,,,615,,136
10362,6970,2223,2015,1737,825,,,,,,,,,,2614,,,,
10363,5471,8620,770,725,230,,,,,,,,,,,,,568,
10367,5908,1270,4983,664,1846,309,730,550,,,,,,,,,124,,
10372,8297,3024,2743,1134,,937,,,,,,,,,,,,249,
10376,9001,6433,,687,,,,,,,,,,,,,,263,
