,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10005,8809,676,102,712,659,,490,163,,,290,,3674,282,476,,,51,
10006,4818,5533,165,2626,161,,669,,,,,,2116,37,135,,,124,
10009,4718,554,5442,,368,1025,,,,3307,,,536,434,,,,,
10013,5699,2543,916,3788,1102,,315,,,,,,1060,592,266,,,103,
10016,5758,173,4519,393,,3164,,,,240,,,1514,372,,,251,,
10023,6951,,5506,1220,479,,1547,,,145,,,484,52,,,,,
10024,5328,6672,,1214,,1805,,,,833,,,,,,,172,360,
10028,5403,6045,67,2075,505,,1238,,,,,,213,141,697,,,,
10043,4591,1692,4576,833,628,658,608,,,2659,,,,,,,139,,
10044,3912,,7462,,959,1389,437,,,1933,,,189,103,,,,,
10050,12827,2234,170,132,,122,,,,,,,,,697,,,,202
10053,4851,193,6501,653,1456,1465,,,,810,,,,,431,,,24,
10063,2046,,6091,280,1653,3559,358,272,,1619,,,,,506,,,,
10074,6199,6970,689,1737,,,,,,,,,,,418,,,371,
10076,4751,1463,5968,1451,,893,,,,1609,,,,,249,,,,
10077,6599,432,5293,366,505,1145,,,,1617,,,,427,,,,,
10085,5550,4803,,4015,319,464,,,,,564,,133,,213,,,323,
10092,6525,4173,1762,2834,381,,,,,,,,,,,,132,577,
10097,7389,2605,3030,2696,,,,,,,157,,149,358,,,,,
10103,5530,7065,1020,1569,,,,,,,,,,,1200,,,,
10116,4355,7365,1045,2561,,,,,,,196,,,,718,,,144,
10119,4268,3993,2883,,150,3377,,,,867,,,,,,,,846,
10128,6487,6089,120,,,1815,,,,,,,,,,,,1873,
10134,4598,3911,3659,2608,,507,,,,,,,,,266,,,835,
10138,4340,9751,,1462,,,396,,,,,,,,435,,,,
10146,6456,3635,2111,2574,,278,,,,,140,,,,564,,,626,
10164,5180,,7519,108,,584,,,,2727,,,42,224,,,,,
10177,6822,4570,1880,,1147,1619,108,,,,,,,,,,,,238
10179,4649,7603,1054,2171,,,,,,,668,,,,239,,,,
10186,6332,1839,4120,1824,688,951,,,,,,,,138,,,,492,
10199,4437,830,7605,,,1611,96,,,1805,,,,,,,,,
10204,6832,2963,477,2059,971,,1429,,,,,,284,,902,,,467,
10214,5529,203,6790,,626,1829,1407,,,,,,,,,,,,
10217,6705,4093,1350,3641,,,595,,,,,,,,,,,,
10226,6651,180,3953,266,,1437,808,,,3089,,,,,,,,,
10241,4775,6019,3294,834,411,,526,,,,,,,,,,,525,
10245,10249,102,2693,,2400,423,166,,,,,,,351,,,,,
10248,5269,,4408,,1076,1701,,,,3570,,,,,360,,,,
10253,3961,3683,3746,2415,1233,,,,,,1038,,,,,,,308,
10254,4311,4246,3345,3131,,,856,,,,495,,,,,,,,
10273,8526,1260,3167,945,,960,,,,,,,,,,85,,1441,
10274,7799,717,3295,,696,2680,,,,565,,,,,632,,,,
10276,6726,5239,2120,683,,,,,,,651,,75,,645,,,245,
10278,6099,6012,731,1825,549,792,,,,,,,,,,,,376,
10286,3140,5867,2630,4666,,,,,,,,,,,,,81,,
10288,10190,1091,1426,2735,455,,166,,,,,,321,,,,,,
10301,9396,4719,,1248,,,,,,,,,,,615,,,406,
10302,7395,6083,241,1951,,,,,,,393,,,,321,,,,
10303,11408,3531,749,304,,,392,,,,,,,,,,,,
10316,5781,4536,2036,2062,439,118,,,,,,,194,,1053,,165,,
10318,4789,5488,2240,1132,793,685,,,,,523,,,,734,,,,
10328,3677,3899,2928,2571,1449,1210,,,,,650,,,,,,,,
10330,6989,3106,1923,959,,868,,,,1798,,,,,741,,,,
10335,9076,4624,202,1978,,,,,,,,,288,,94,,,122,
10338,4265,5791,,4468,389,,85,,,,340,991,,,,,55,,
10342,5243,3162,2155,3618,787,,,,,,1419,,,,,,,,
10344,5344,5763,641,3239,538,,,,,,,,,,820,,39,,
10349,6423,4993,,219,1452,1547,1750,,,,,,,,,,,,
10351,5109,4988,820,5063,104,,233,,,,,,,,,,67,,
10352,4900,9818,,1140,,,122,,,,404,,,,,,,,
10357,3132,5899,2613,3835,,,322,,,,,,,,583,,,,
10358,3832,3858,1652,1903,1476,2739,,,,572,,352,,,,,,,
10364,3285,7916,403,3784,187,,403,,,,,,,,406,,,,
10369,6952,5177,914,1887,880,,74,,,,170,,,,330,,,,
10371,5122,8007,,2408,581,,193,,,,,,,,,,,73,
10379,3271,7881,868,2969,,650,147,,,,,,,,411,,187,,
10385,6574,3296,1343,1400,1534,1873,364,,,,,,,,,,,,
10386,7661,6723,,,2000,,,,,,,,,,,,,,
10397,5452,2896,5675,787,624,,,,,,,,,950,,,,,
10408,6414,3793,1530,3682,604,,123,,,,,,177,,,,61,,
